"gene","bulk_logFC","bulk_adjP","module","direction","kME","validation_logFC","direction_concordant","pb_dominant_celltype","pb_log2FC","pb_p","pb_class","composition_adj_class","validation_logFC_full","cross_cohort_concordant","ev_bulk_sig","ev_cross_conc","ev_hub","ev_pb_intrinsic","ev_adj_retain","evidence_layer_count"
"FCGBP",3.14337433953817,3.59580682001826e-14,NA,NA,NA,NA,NA,"Myeloid",3.56883114249815,6.55205137960943e-08,"both","retained",3.39136336111111,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4
"HRH1",-1.59148918529607,4.8042013988888e-14,NA,NA,NA,NA,NA,"Fibroblast",-2.0741653629124,0.0034116245751608,"both","retained",-1.03829625,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4
"RASSF4",2.73019276535235,1.82112704304946e-13,"turquoise","up",0.859537799147317,2.33120337962963,TRUE,"Myeloid",0.923023135671559,2.89060990817679e-06,"both","attenuated",2.33120337962963,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4
"AR",-1.08179048347648,2.12117999861711e-13,NA,NA,NA,NA,NA,"Fibroblast",-2.71633916527771,0.00048073753775271,"both","retained",-1.19646671296296,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4
"ARHGEF26",2.69407597807171,9.19007482864573e-13,"turquoise","up",0.866906134513132,1.75749662037037,TRUE,"Schwann/tumour",2.8877551238567e-06,0.0176195534714828,"both","attenuated",1.75749662037037,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4
"ASS1",-1.84372547330069,1.47534476019892e-12,"yellow","down",0.820987693066929,-1.41350241666667,TRUE,"Endothelial",-3.2472154105853e-08,0.968374258940989,"composition-consistent","retained",-1.41350241666667,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,4
"JAKMIP2",2.31392950279414,3.07199008564845e-12,"turquoise","up",0.903548106779571,2.7009737037037,TRUE,"Schwann/tumour",0.990503397920201,0.00195079514151303,"both","attenuated",2.7009737037037,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4
"LOC653653",2.51315545809792,3.82170288635214e-12,"turquoise","up",0.85490456918208,1.40800423148148,TRUE,NA,NA,NA,"ambiguous/undetermined","retained",1.40800423148148,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,4
"CLMP",-1.89879292869622,7.28035245035821e-12,"yellow","down",0.862652421906341,-2.92954438888889,TRUE,"Fibroblast",-0.0785042321962946,0.731306448868617,"composition-consistent","retained",-2.92954438888889,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,4
"ZNF347",2.20932388272167,2.04660802257462e-11,"turquoise","up",0.852077471164079,1.92538538888889,TRUE,"Endothelial",-1.5289172825605e-06,0.468039655329138,"ambiguous/undetermined","retained",1.92538538888889,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,4
"LGALS3BP",1.70577841284118,2.62211759619229e-11,"turquoise","up",0.873896296721322,1.97741875925926,TRUE,"Schwann/tumour",1.1763713508054,0.000269860479367082,"both","attenuated",1.97741875925926,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4
"NRCAM",2.4107897716569,3.67876216678947e-11,"turquoise","up",0.83477095793993,2.22479774074074,TRUE,"Schwann/tumour",2.73342126986401e-06,0.00262887916612793,"both","attenuated",2.22479774074074,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4
"ARSK",1.57354672762375,4.5237943059494e-11,"turquoise","up",0.820211111279771,0.598961148148149,TRUE,"Schwann/tumour",1.97723492322489e-06,0.232057762692953,"composition-consistent","retained",0.598961148148149,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,4
"ST3GAL6",1.81691024336315,8.46063924248552e-11,"turquoise","up",0.815023117677716,1.47223887037037,TRUE,"Myeloid",1.23359922623147,1.01463377366489e-05,"both","attenuated",1.47223887037037,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4
"SEMA7A",1.91564438326138,9.78532814152918e-11,"turquoise","up",0.864227527086674,2.83697056481481,TRUE,"Schwann/tumour",2.21072790716753e-06,0.0360229569582346,"both","attenuated",2.83697056481481,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4
