"gene","original_logFC","original_adj.P.Val","adjusted_logFC","AveExpr","t","adjusted_P.Value","adjusted_adj.P.Val","B","original_sig","adjusted_sig","classification"
"AADACL4",-0.51129749968774,0.00502679467505747,-0.456766680316183,5.4872914762,-1.02001622870249,0.314380284520544,0.597715774651305,-5.64421546831418,FALSE,FALSE,"neither"
"AADAT",0.484052432669238,0.0138672018012418,-0.314236310231558,7.0405794439,-0.749288238658526,0.458446918759228,0.697451115738359,-5.87396108678357,FALSE,FALSE,"neither"
"AAGAB",0.28265235318196,0.100542502699602,0.810710734841025,7.3856287032,1.91686564737641,0.0630451173195605,0.299546419773333,-4.43293469061177,FALSE,FALSE,"neither"
"AAK1",0.566057092460294,0.000795201762111012,0.726007071662417,7.879090002075,1.8299779546606,0.0753632685333645,0.326392081266218,-4.57810156933845,FALSE,FALSE,"neither"
"AAMP",0.12550077970702,0.211589091269809,0.107270182097795,9.0275535482,0.409627825757356,0.684449603356362,0.83252440874344,-6.06508480156778,FALSE,FALSE,"neither"
"AANAT",-0.25093642325443,0.0287565844454783,0.289057370084198,7.028203880375,1.05925312218585,0.29638561570446,0.585272928652635,-5.60539040540263,FALSE,FALSE,"neither"
"AARD",0.25412270489206,0.0631788852229516,1.03571219103863,7.1512401347,3.34072219805659,0.00192589638629969,0.0452199131888432,-1.39642934280948,FALSE,TRUE,"adjusted-only"
"AARS1",0.629292211673866,0.000269204303122069,0.380763248980523,9.91236166545,0.990492258442095,0.328402180562935,0.608550206907768,-5.67252015279431,FALSE,FALSE,"neither"
"AARS2",0.140189687898229,0.0692780678169901,0.129377134715159,7.478465129375,0.681843749126509,0.499599564457337,0.724717265689952,-5.92063725933605,FALSE,FALSE,"neither"
"AASDH",0.572103690143411,0.000503589829578773,0.0689476373968962,7.0370380624,0.188224252268308,0.851735027815417,0.92642423965762,-6.12982653934958,FALSE,FALSE,"neither"
"AASDHPPT",0.5459827638697,0.000311033575805391,0.610145834987195,8.649341170225,1.75085068779882,0.0883050791121785,0.349908623566391,-4.70545361111484,FALSE,FALSE,"neither"
"AASS",0.700304320691597,0.00068299243492714,0.166551409244512,9.033450073175,0.422550035318603,0.675082536801547,0.827052474384701,-6.05983197174824,FALSE,FALSE,"neither"
"AATF",0.534576792053201,3.31430760434899e-05,0.416593786720835,9.64792915945,1.4277208125722,0.161789434873851,0.458460724038282,-5.17517988338701,FALSE,FALSE,"neither"
"AATK",1.03160533152969,1.54675416619489e-06,0.0279323708615737,9.35155506785,0.0674012299304564,0.946627186675602,0.974159628699263,-6.14496870213937,TRUE,FALSE,"attenuated"
"ABAT",0.623583607745568,0.00268730710780916,-0.840452038849128,8.642695854475,-2.21261942136541,0.0332098748791007,0.21644637368863,-3.89905970722399,FALSE,FALSE,"neither"
"ABCA1",1.48782431618428,6.88786437831596e-06,1.13850033201172,10.1687806816,2.06549023414761,0.0459733982878376,0.255985554476751,-4.17212485217755,TRUE,FALSE,"attenuated"
"ABCA12",-0.554760546486506,0.00083228019818318,-0.489890601349913,5.53739118175,-1.20436077642896,0.236139628485492,0.533303117271018,-5.44994403220483,FALSE,FALSE,"neither"
"ABCA13",-0.526834413245181,0.000396599610219665,-0.269342429951001,6.01365366805,-0.80691215874034,0.424901927547698,0.674210470214604,-5.83071655644847,FALSE,FALSE,"neither"
