module,cor,p
yellow,-0.808569960806388,2.7762368724316e-10
red,-0.772239669801716,5.35024616384026e-09
turquoise,0.740983196358724,4.56236712461601e-08
brown,0.694666614346905,6.60306918016612e-07
blue,-0.607188715202387,3.26311705583668e-05
green,-0.457011884553256,0.00303123589501958
pink,-0.256608585291602,0.109961601890103
grey,-0.253981400051929,0.113777647386271
black,-0.148976562631356,0.358897859421039
