ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0141060,disruption of anatomical structure in another organism,16/385,123/18805,0.130081300813008,6.35371132932109,8.61204906355587,4.50470385581095e-09,1.19224495383797e-06,8.80076879619488e-07,PLA2G2A/CXCL1/CCL21/C6/CTSG/S100A12/CCL19/CXCL2/CXCL8/DEFA1B/DAO/PPBP/TREM1/DEFB128/DEFB4A/C7,16
GO:0097530,granulocyte migration,17/385,149/18805,0.114093959731544,5.57282315000436,8.10175202761193,1.12049645146443e-08,2.78023182019612e-06,2.05227771110327e-06,CCL21/RIPOR2/CXCR1/CD177/DPP4/CXCR2/THBS4/S100A12/CCL19/IL1R1/CCL7/SAA1/CXCL8/S100A9/PPBP/TREM1/S100A8,17
GO:0060537,muscle tissue development,30/385,446/18805,0.0672645739910314,3.28548133480869,7.06205784193253,1.28463124822682e-08,2.9999917973297e-06,2.21449745824364e-06,PI16/ZFPM2/SHOX2/DSG2/PDGFRA/EYA1/CAV1/ABCC9/GLI1/TBX18/PRICKLE1/TNNT2/FGFR2/KLF5/MEOX2/OSR1/EDNRA/SIX1/RGS4/ACTN2/MSC/TNNC1/KCNK2/DNER/DSP/RBP4/GREM1/MYH11/CAV2/IGF2,30
GO:0014706,striated muscle tissue development,29/385,423/18805,0.0685579196217494,3.34865371035584,7.06323188372539,1.48864791893457e-08,3.28329568787235e-06,2.4236232785461e-06,PI16/ZFPM2/SHOX2/DSG2/PDGFRA/EYA1/CAV1/ABCC9/GLI1/TBX18/PRICKLE1/TNNT2/FGFR2/KLF5/MEOX2/EDNRA/SIX1/RGS4/ACTN2/MSC/TNNC1/KCNK2/DNER/DSP/RBP4/GREM1/MYH11/CAV2/IGF2,29
GO:0030595,leukocyte chemotaxis,21/385,234/18805,0.0897435897435897,4.38344988344988,7.52940580944683,1.6359079648807e-08,3.41818664240861e-06,2.52319544278552e-06,CCL21/RIPOR2/CXCR1/FFAR2/DPP4/CXCR2/CTSG/THBS4/S100A12/CCL19/FPR2/CCL7/SAA1/CXCL8/S100A9/DEFA1B/GREM1/PPBP/IL6/TREM1/S100A8,21
GO:0071621,granulocyte chemotaxis,15/385,122/18805,0.122950819672131,6.00542899723228,8.01878532181232,2.98639337069488e-08,5.92799084082933e-06,4.37585218106028e-06,CCL21/RIPOR2/CXCR1/DPP4/CXCR2/THBS4/S100A12/CCL19/CCL7/SAA1/CXCL8/S100A9/PPBP/TREM1/S100A8,15
GO:0048545,response to steroid hormone,25/385,338/18805,0.0739644970414201,3.61273342042573,7.00754586847068,3.48019809277834e-08,6.5792316325381e-06,4.85657718811775e-06,AR/ASS1/DSG2/EGFR/PDE3A/CAV1/TACR1/INHBA/GHR/TGFB3/PTGER2/CDO1/ERRFI1/ADIPOQ/AQP1/DEFA1B/FAM107A/SLIT3/TFPI/AKR1C3/LMO3/IL6/STC1/CYP1B1/CLDN1,25
GO:0003007,heart morphogenesis,22/385,272/18805,0.0808823529411765,3.95063025210084,7.08658585522966,4.87905586139996e-08,8.80447807716265e-06,6.49918254456339e-06,ZFPM2/SHOX2/EYA1/ABCC9/PRICKLE1/TNNT2/FGFR2/HAS2/MICAL2/APLNR/EDNRA/SFRP2/ADAMTS1/SIX1/ROBO1/TNNC1/CPE/FLRT2/DSP/SNAI2/RBP4/SLIT3,22
GO:0097305,response to alcohol,22/385,276/18805,0.0797101449275362,3.89337474120083,7.00073936399426,6.3240402870741e-08,1.09158434520366e-05,8.05772455799281e-06,CCL21/ADCYAP1R1/TACR1/INHBA/FGFR2/GHR/ADCY2/AKR1C2/CCL19/ADCY8/PTGER2/CDO1/RGS4/CCL7/ADIPOQ/SLIT3/VCAM1/AKR1C3/CYP1B1/CLDN1/TNC/S100A8,22
GO:0060326,cell chemotaxis,24/385,325/18805,0.0738461538461539,3.60695304695305,6.85384974716437,6.77507509804619e-08,1.12071033913514e-05,8.27272327761429e-06,CCL21/PDGFRA/RIPOR2/CXCR1/FFAR2/DPP4/CXCR2/CTSG/THBS4/S100A12/CCL19/FPR2/CCL7/SAA1/CXCL8/S100A9/DEFA1B/GREM1/PPBP/VCAM1/IL6/TREM1/S100A8/DEFB4A,24
GO:0002687,positive regulation of leukocyte migration,16/385,152/18805,0.105263157894737,5.14149008885851,7.41164736924973,9.50530539062446e-08,1.50944249603116e-05,1.11422190347362e-05,CCL21/TACR1/RIPOR2/SELE/CXCR2/THBS4/SELP/CCL19/FPR2/IL1R1/CCL7/CXCL8/LYVE1/KITLG/IL6/ICAM1,16
GO:0046683,response to organophosphorus,15/385,135/18805,0.111111111111111,5.42712842712843,7.46324191266685,1.17198562324924e-07,1.78953189396133e-05,1.32097488871493e-05,ASS1/PDE3A/AKR1C1/ABCC9/RYR3/GPD1/AQP9/CDO1/ERRFI1/ADIPOQ/AQP1/THBD/STC1/NT5E/CYP1B1,15
GO:0050878,regulation of body fluid levels,26/385,388/18805,0.0670103092783505,3.27306198955683,6.540762374541,1.3284944175259e-07,1.95337882873253e-05,1.44192142627373e-05,FBLN1/EGFR/ANGPT1/NFE2/PDGFRA/FGF10/CAV1/PRICKLE1/NPR1/HAS2/CTSG/PEAR1/APLNR/SVEP1/SELP/F5/CDO1/SAA1/AQP1/TFPI/CD36/FAP/IL6/THBD/AQP4/STATH,26
GO:0045600,positive regulation of fat cell differentiation,11/385,71/18805,0.154929577464789,7.56740442655936,8.01527358766318,1.9569608889469e-07,2.77469097468543e-05,2.04818763715345e-05,ZBTB7C/FNDC5/KLF5/SFRP2/SIX1/MEDAG/ADIRF/SNAI2/PPARG/LMO3/CCDC3,11
GO:0048738,cardiac muscle tissue development,20/385,251/18805,0.0796812749003984,3.89196460909608,6.6684013628997,2.54493543827535e-07,3.48392885860453e-05,2.57172423236246e-05,PI16/ZFPM2/SHOX2/DSG2/PDGFRA/GLI1/TBX18/PRICKLE1/TNNT2/FGFR2/EDNRA/RGS4/ACTN2/MSC/TNNC1/KCNK2/DSP/RBP4/GREM1/MYH11,20
GO:0048568,embryonic organ development,28/385,457/18805,0.0612691466083151,2.99263974537498,6.2345224901546,2.7665850912328e-07,3.6611142707314e-05,2.70251680490951e-05,PRRX1/SOBP/ZFPM2/SHOX2/EGFR/PDGFRA/EYA1/FGF10/MFAP5/GLI1/TBX18/PRICKLE1/KRT19/FGFR2/MFAP2/TGFB3/MICAL2/OSR1/APLNR/EDNRA/SIX1/CXCL8/KITLG/FBN2/ZEB1/RBP4/EFEMP1/IGF2,28
GO:0050673,epithelial cell proliferation,29/385,488/18805,0.0594262295081967,2.90262401532893,6.15667722597055,3.18847609923937e-07,4.08330648838074e-05,3.01416552131831e-05,AR/EGFR/EYA1/FGF10/CAV1/TACR1/GLI1/FGFR2/HAS2/OSR1/PROK2/THBS4/APLNR/SFRP2/LRG1/SFN/SIX1/ERRFI1/EGF/ROBO1/ZEB1/SNAI2/PPARG/ST8SIA1/FAP/IL6/CAV2/CLDN1/IGF2,29
GO:0070542,response to fatty acid,10/385,60/18805,0.166666666666667,8.14069264069264,8.00910368232266,3.48888737230295e-07,4.32840089626334e-05,3.1950863304248e-05,ASS1/AKR1C1/DGAT2/FFAR2/AKR1C2/ADIPOQ/KCNK2/AKR1C3/CD36/CLDN1,10
GO:0045598,regulation of fat cell differentiation,15/385,147/18805,0.102040816326531,4.98409753511794,7.01078676258643,3.6026826239831e-07,4.33413636885239e-05,3.19932007182422e-05,ZFPM2/ZBTB7C/FNDC5/KLF5/SFRP2/SIX1/RUNX1T1/MEDAG/ADIPOQ/ADIRF/SNAI2/PPARG/LMO3/CCDC3/IL6,15
GO:0043410,positive regulation of MAPK cascade,28/385,464/18805,0.0603448275862069,2.9474921630094,6.14092617780989,3.76356636030067e-07,4.39451719129225e-05,3.24389125296504e-05,AR/PLA2G2A/EGFR/ANGPT1/CCL21/PDGFRA/FGF10/TPD52L1/INHBA/FGFR2/GHR/TGFB3/NRK/S100A12/CCL19/FPR2/EGF/ROBO1/FGF5/NTRK3/GPR37/MYOC/CD36/CHI3L1/IL6/CAV2/ICAM1/IGF2,28
GO:0003206,cardiac chamber morphogenesis,14/385,129/18805,0.108527131782946,5.30091613812544,7.08638216811963,4.15311228723846e-07,4.71081593723906e-05,3.47737281433741e-05,ZFPM2/SHOX2/TNNT2/FGFR2/APLNR/EDNRA/SFRP2/ADAMTS1/ROBO1/TNNC1/CPE/DSP/RBP4/SLIT3,14
GO:0002685,regulation of leukocyte migration,19/385,236/18805,0.0805084745762712,3.93236847897865,6.55376642178954,4.34040454024733e-07,4.78650167355052e-05,3.53324159065747e-05,CCL21/TACR1/RIPOR2/SELE/DPP4/CXCR2/THBS4/SELP/CCL19/FPR2/IL1R1/CCL7/IL33/CXCL8/LYVE1/KITLG/GREM1/IL6/ICAM1,19
GO:0042445,hormone metabolic process,19/385,240/18805,0.0791666666666667,3.866829004329,6.46205435650099,5.6150244110351e-07,6.02476943562415e-05,4.44729102711855e-05,LIPE/PDGFRA/AKR1C1/INHBA/DGAT2/DPP4/GHR/AKR1C2/CTSG/KLK6/SLCO1C1/CRABP2/CPE/RBP4/AKR1C3/ADH1C/ADH1B/CYP1B1/MME,19
GO:1903522,regulation of blood circulation,20/385,269/18805,0.0743494423791822,3.63153575049486,6.28475102043881,7.66482350529305e-07,8.00772350421406e-05,5.91104394424816e-05,BDKRB2/HRH1/SHOX2/DSG2/EGFR/THRB/CAV1/TACR1/ABCC9/KCND2/TBX18/TNNT2/NOS1/EDNRA/SVEP1/RGS4/TRDN/DSP/AGT/STC1,20
GO:0071398,cellular response to fatty acid,8/385,38/18805,0.210526315789474,10.282980177717,8.28118463160045,8.20273617864812e-07,8.34996477672642e-05,6.16367544436069e-05,ASS1/AKR1C1/DGAT2/FFAR2/AKR1C2/KCNK2/AKR1C3/CLDN1,8
GO:0042692,muscle cell differentiation,26/385,429/18805,0.0606060606060606,2.96025186934278,5.93780190570026,9.13991157275348e-07,9.07136223595783e-05,6.69618784698571e-05,PI16/SHOX2/PDGFRA/FGF10/RIPOR2/TBX18/PRICKLE1/KRT19/TNNT2/FGFR2/KLF5/NOS1/APLNR/EDNRA/TMOD1/SIX1/RGS4/ACTN2/ACTN1/DNER/ADAM12/ZEB1/GREM1/MYH11/CAV2/IGF2,26
GO:0048562,embryonic organ morphogenesis,21/385,302/18805,0.0695364238410596,3.39644792293799,6.06961390444644,1.20589416253807e-06,0.000116765849396979,8.61927945701155e-05,PRRX1/SOBP/SHOX2/PDGFRA/EYA1/FGF10/MFAP5/GLI1/TBX18/FGFR2/MFAP2/TGFB3/MICAL2/OSR1/APLNR/EDNRA/SIX1/FBN2/ZEB1/RBP4/EFEMP1,21
GO:0050678,regulation of epithelial cell proliferation,25/385,410/18805,0.0609756097560976,2.97830218561926,5.85524856284425,1.3317618528038e-06,0.000125883203705502,9.2922932285859e-05,AR/EGFR/EYA1/FGF10/CAV1/TACR1/GLI1/FGFR2/HAS2/OSR1/THBS4/APLNR/SFRP2/LRG1/SFN/SIX1/EGF/ROBO1/ZEB1/SNAI2/PPARG/ST8SIA1/CAV2/CLDN1/IGF2,25
GO:0015718,monocarboxylic acid transport,16/385,186/18805,0.0860215053763441,4.20164781455104,6.34399053668131,1.48995225367965e-06,0.000137560708072284,0.000101542890434373,BDKRB2/PLA2G2A/SLC16A7/FABP4/SLC22A3/AKR1C1/SLC10A6/SLC16A9/RBP5/AQP9/SLCO1C1/CRABP2/CRABP1/PPARG/FABP3/CD36,16
GO:0001906,cell killing,19/385,263/18805,0.0722433460076046,3.52866525109871,5.97037485435224,2.22197231197384e-06,0.000200482501784913,0.000147989734845339,PLA2G2A/CXCL1/CCL21/C6/CTSG/S100A12/CCL19/CXCL2/IL18RAP/CD1C/CXCL8/DEFA1B/DAO/PPBP/TREM1/ICAM1/DEFB128/DEFB4A/C7,19
GO:0003205,cardiac chamber development,15/385,172/18805,0.0872093023255814,4.2596647538508,6.20878242536457,2.67062401746651e-06,0.000235608385540934,0.000173918532505889,ZFPM2/SHOX2/TNNT2/FGFR2/APLNR/EDNRA/SFRP2/ADAMTS1/ROBO1/TNNC1/KCNK2/CPE/DSP/RBP4/SLIT3,15
GO:0055123,digestive system development,14/385,151/18805,0.0927152317880795,4.52859723058399,6.29383349629689,2.79839262009186e-06,0.000241513450038362,0.000178277461197614,ASS1/CLMP/SHOX2/EGFR/PDGFRA/FGF10/GLI1/FGFR2/KLF5/TGFB3/SFRP2/DACT1/CXCL8/IGF2,14
GO:0015850,organic hydroxy compound transport,20/385,293/18805,0.068259385665529,3.33407207127344,5.821462101354,2.87534241648464e-06,0.000242874667945617,0.000179282268476892,SLC16A7/SLC22A3/AKR1C1/CAV1/SLC10A6/SYT1/NOS1/AQP9/SLCO1C1/SLC5A11/SLC19A3/EGF/ADIPOQ/CHRM5/AQP1/PPARG/RBP4/ECRG4/AGT/CD36,20
GO:0018108,peptidyl-tyrosine phosphorylation,16/385,198/18805,0.0808080808080808,3.94700249245704,6.02678352718518,3.37935619954886e-06,0.000279500919004354,0.000206318589025088,EGFR/ANGPT1/PDGFRA/FGF10/GPRC5A/FGFR2/THBS4/SFRP2/ERRFI1/EGF/ADIPOQ/KITLG/GREM1/CD36/EFEMP1/IL6,16
