gene,cell_type,spearman_rho,p_value,p_adj
SHOX2,Treg cells,-0.180675422138837,0.26456378867365,0.297894659687653
SLC16A7,Neutrophils,0.628330206378987,1.41824047949539e-05,0.0001690069904732
SLC16A7,Endothelial cells,0.613883677298312,2.52267140524826e-05,0.000277493854577309
SLC16A7,Monocytes,0.592120075046904,5.703828676268e-05,0.000509779687941452
SLC16A7,Th2 cells,0.573733583489681,0.00010868828830419,0.000777121261374956
SLC16A7,MDSC,0.556848030018762,0.000190131001161198,0.00123585150754779
SLC16A7,Plasma cells,0.479549718574109,0.00174196203810673,0.00579303654533167
SLC16A7,Cytotoxic cells,0.455909943714822,0.00311152826196754,0.00959394116520852
SLC16A7,Immature dendritic cells,0.44296435272045,0.00420359625248259,0.0117865541981375
SLC16A7,Dendritic cells,0.384990619136961,0.0141645317233309,0.0302317617378556
SLC16A7,Macrophages,-0.311069418386492,0.0507287677285855,0.0829123951502836
SLC16A7,Fibroblasts,0.267542213883677,0.0951153597570822,0.128966978181956
SLC16A7,Treg cells,-0.171857410881801,0.288976432481056,0.320338215851093
SLC16A7,CD56bright NK cells,-0.0583489681050657,0.720617042611367,0.725691810517081
