"sample","group","batch","Schwann/肿瘤细胞","巨噬/髓系","T细胞","成纤维","内皮","周细胞"
"GSM973621","Control",2,0.599433740161428,0.0680293060980804,0.07649062283418,0.0821411606301906,0.147548241775884,0.026356928500237
"GSM973622","Control",2,0.554487077382643,0.117569620254746,0.0751415125211078,0.0798113213429201,0.146238046235336,0.0267524222632472
"GSM973623","Control",2,0.617186236192058,0.0235707484604958,0.0324187754424369,0.126878250282528,0.163084312411005,0.0368616772114767
"GSM973624","Control",2,0.708722346528348,0.0348842752176236,0.0247763563793611,0.0985429739765293,0.111235487034104,0.0218385608640334
"GSM973625","Control",2,0.62844527227384,0.0246012782241939,0.0921092865408139,0.0828727003560199,0.14793544389533,0.0240360187098014
"GSM973626","Control",1,0.760891890040105,0.106770749239161,0.0131726658425758,0.00827763692124278,0.0997373253979462,0.0111497325589692
"GSM973627","Control",2,0.527501297379564,0.0520947809184323,0.0272577795994845,0.160889318956496,0.171760004587762,0.0604968185582613
"GSM973628","Control",2,0.561800718344922,0.0711712203987411,0.0384472048979081,0.156817719577211,0.147742843484797,0.0240202932964198
"GSM973629","Control",1,0.260010175471494,0,0.0379142096253233,0.6110132122656,0.0766620034118517,0.014400399225731
"GSM973630","Tumor",2,0.837709043375036,0.087371599622605,0.00870870487436502,0.0140610099108271,0.0483426530779636,0.00380698913920307
"GSM973631","Tumor",2,0.781968430692102,0.142071734677312,0.0135292314295114,0.0132458332539271,0.0469907691108741,0.00219400083627282
"GSM973632","Tumor",2,0.821880399075653,0.0617196449952186,0.0162746669442062,0.0437993655989918,0.048471047427031,0.00785487595889908
"GSM973633","Tumor",2,0.84508376730634,0.0794043499802424,0.00842421202619694,0.0121360069469698,0.0473373114079645,0.00761435233228611
"GSM973634","Tumor",2,0.84206876375994,0.100033206078687,0.00459263357140046,0.00761828874371065,0.0391717966931237,0.00651531115313906
"GSM973635","Tumor",1,0.829035930614002,0.113653360645941,0.0126867989802263,0.00175385848768853,0.0412566504426323,0.00161340082950924
"GSM973636","Tumor",1,0.868478172551117,0.0401593249843822,0.00432122633750054,0.0307644977387771,0.0493668871559306,0.00690989123229205
"GSM973637","Tumor",2,0.867836471340113,0.0839320094235165,0.00271563885959139,0.00162854500369263,0.0381405987354107,0.0057467366376755
"GSM973638","Tumor",2,0.897235013620573,0.0507156488330854,0.00231595517765921,0.0109387835935626,0.0357941711989546,0.00300042757616487
"GSM973639","Tumor",2,0.847594014772207,0.0783815012476312,0.00494441986770651,0.0192416455682775,0.0439165787561258,0.0059218397880517
"GSM973640","Tumor",1,0.890539248617182,0.0505865411264543,0.00424946776045626,0.00516192955855285,0.0429549206664919,0.00650789227086214
"GSM973641","Tumor",1,0.788182720480352,0.106446474545761,0.00338990965796686,0.0275570888884647,0.0639742224546699,0.0104495839727859
"GSM973642","Tumor",1,0.667490064817776,0.218985125408643,0.0215684273279153,0.0340548040125128,0.0550822575235896,0.00281932090956291
"GSM973643","Tumor",1,0.889699243507135,0.0514782113890376,0.00681661341662093,0.00372905526863891,0.0436144356458201,0.00466244077274792
"GSM973644","Tumor",2,0.738488662917661,0.119384152146639,0.032586807212098,0.0403280367780762,0.0568597077474009,0.0123526331981258
"GSM973645","Tumor",2,0.872018459920285,0.0666266124641772,0.00677817857904559,0.00518476134479009,0.0458579189254175,0.00353406876628422
"GSM973646","Tumor",2,0.781349253169493,0.136833757137794,0.0108165468165713,0.0163499917001944,0.0467763422939848,0.00787410888196292
"GSM973647","Tumor",1,0.837916641920258,0.0554065755675688,0.0213061607472942,0.0275356033219323,0.049982679287252,0.00785233915569478
"GSM973648","Tumor",2,0.768323181042526,0.128581788531956,0.0163574153479025,0.0166030726036763,0.063136815156989,0.00699772731695089
"GSM973649","Tumor",2,0.706885002996198,0.156929102724854,0.0239370268990753,0.0324234878755288,0.070484007015023,0.00934137248932099
"GSM973650","Tumor",1,0.859060297133306,0.0786502043386711,0.00831419910139852,0.000669363991483535,0.0468684338359427,0.00643750159919843
"GSM973651","Tumor",1,0.832451159202264,0.0740522947097791,0.00301844705329862,0.0264653259143345,0.05383797807267,0.0101747950476535
"GSM973652","Tumor",1,0.831420161105422,0.111483646055713,0.00180289422518571,0.00568272567976593,0.0432555641569415,0.00635500877697187
"GSM973653","Tumor",2,0.8192296166574,0.111552994527384,0.00472412958964679,0.00369105959844225,0.0481544743284175,0.0126477252987096
"GSM973654","Tumor",1,0.676071718059464,0.177664365436749,0.0515366232402159,0.0251557986616237,0.066283501971102,0.00328799263084541
"GSM973655","Tumor",2,0.875786104341387,0.0665182335458925,0.00986347049566946,0.00718905898581159,0.0374889039631104,0.00315422866812879
"GSM973656","Tumor",1,0.918969382324443,0.0353747168398843,0.0014053973873395,0.00687774794657451,0.033894771980699,0.00347798352105955
"GSM973657","Tumor",1,0.798905922086698,0.12257831640176,0.0165145729888735,0.0140168405290053,0.0416882509857916,0.00629609700787188
"GSM973658","Tumor",1,0.76869117594762,0.13237798261967,0.00246732560668944,0.0336539801120921,0.0466900387041299,0.016119497009799
"GSM973659","Tumor",1,0.820744604698288,0.0972725345387366,0.00723343554191302,0.0269769450851276,0.0431202294095961,0.00465225072633872
"GSM973660","Tumor",1,0.849464129197837,0.0968666924357206,0.00804548054529739,0.00184340526550556,0.0423147224206731,0.00146557013496643
