"gene","bulk_logFC","dominant_celltype","pb_log2FC_in_dom","pb_p_in_dom","dom_pct_shift_VS_minus_Nerve","class"
"ALDH3B1",1.44271529113107,"Schwann/肿瘤细胞",1.70143501780015e-06,0.656639662522092,21.18,"composition-consistent"
"PRIMA1",2.24036770984503,"Schwann/肿瘤细胞",8.39468038739188e-07,0.54350740030683,21.18,"composition-consistent"
"LGI4",2.63774359106014,"Schwann/肿瘤细胞",5.57517864729385e-06,0.0871811656543462,21.18,"composition-consistent"
"GRB14",2.93027134282884,"Schwann/肿瘤细胞",-1.31997121292945e-07,0.929564370420108,21.18,"composition-consistent"
"KCTD1",1.76417942196299,"Schwann/肿瘤细胞",1.25091613721875,0.00307911074099948,21.18,"both"
"PDGFD",2.52102636918273,"成纤维",-0.141318195607959,0.655806002782432,-42.35,"ambiguous/undetermined"
"LRMDA",1.60581709572784,"巨噬/髓系",0.972315674690358,8.59000779920557e-05,45.88,"both"
"PROS1",2.30438355822668,"Schwann/肿瘤细胞",2.03974089054805,5.46009340083917e-05,21.18,"both"
"PTPRJ",1.54188994508559,"巨噬/髓系",7.02346718225522e-06,0.205866930056325,45.88,"composition-consistent"
"SCN7A",3.64605147840941,"Schwann/肿瘤细胞",2.40185266463605e-06,0.0854614136337998,21.18,"composition-consistent"
"POPDC1",1.94234982372552,NA,NA,NA,NA,"ambiguous/undetermined"
"RRM2B",1.5930803883431,"巨噬/髓系",5.75207574437538e-06,0.117411230495877,45.88,"composition-consistent"
"NIM1K",2.09380132235621,"Schwann/肿瘤细胞",2.89075946454115e-06,0.0348368379999063,21.18,"both"
"CHL1",3.09456496908404,"Schwann/肿瘤细胞",1.14177653892585,2.43131551823321e-05,21.18,"both"
"PLA2G2A",-2.75044678238088,"成纤维",-0.727454470557404,1.98337682623839e-06,-42.35,"both"
"ARHGAP15",2.89591876648497,"Schwann/肿瘤细胞",1.76949252119828e-06,0.240537228358474,21.18,"composition-consistent"
"IFIT3",2.35214454365844,"Schwann/肿瘤细胞",2.42464019257227,2.68120306742521e-09,21.18,"both"
"ALDH1A1",2.87219547688281,"Schwann/肿瘤细胞",5.0665462846889e-06,0.0121155063960494,21.18,"both"
"PAWR",-1.12787998503238,"周细胞",0.0174767904108255,0.938871580742207,-23.07,"composition-consistent"
"FSTL3",1.43353200778412,"Schwann/肿瘤细胞",1.54339737516531,6.09470505783192e-05,21.18,"both"
"PDZD2",2.56001570504703,"Schwann/肿瘤细胞",1.16227695701828e-06,0.205647624382423,21.18,"composition-consistent"
"SLC16A7",-1.5278691966276,"T细胞",9.33142519314553e-06,0.278819770959168,15.09,"ambiguous/undetermined"
"ARHGEF26",2.69407597807171,"Schwann/肿瘤细胞",2.8877551238567e-06,0.0176195534714828,21.18,"both"
"IFIT2",2.35624461088744,"Schwann/肿瘤细胞",2.12182112906747,8.01180915865587e-08,21.18,"both"
"MIR1915HG",2.73460499671627,"Schwann/肿瘤细胞",3.67088961920432e-08,0.926103151092502,21.18,"composition-consistent"
