gene,module,direction,kME,GS,logFC,adj.P.Val,is_hub
SNX12,turquoise,up,0.936134667494539,0.619931156967742,0.73538238848805,0.000110917280872009,FALSE
MICU2,turquoise,up,0.935866513242954,0.597313018217839,0.817144740551273,0.000188279270630341,FALSE
TRAPPC13,turquoise,up,0.935822571629763,0.717125352524791,0.962314041086355,2.34741490161751e-06,FALSE
ZNF106,turquoise,up,0.935753536148179,0.709566330265993,0.980071064214341,4.00269993019306e-06,FALSE
HSPA13,turquoise,up,0.935666332703059,0.738814649044534,1.27360466315112,7.04063044034574e-07,TRUE
NBAS,turquoise,up,0.935624350192361,0.616443522819377,0.729758743154204,0.000119512784458341,FALSE
NCOA2,turquoise,up,0.935568814232418,0.75655113235033,0.918921411117966,4.98111261213123e-07,FALSE
TCP11L1,turquoise,up,0.935020933178405,0.788181975691066,0.881774891216655,7.78517778157288e-08,FALSE
CGGBP1,turquoise,up,0.934818741770573,0.620362738415928,0.653509088158832,0.000112589314160478,FALSE
AP3M2,turquoise,up,0.934814163730407,0.817076724237962,1.4935493795744,5.82952465222215e-09,TRUE
ULK2,turquoise,up,0.934798864415845,0.653547991913281,0.898459898734776,3.44928467517806e-05,FALSE
ANKFY1,turquoise,up,0.934527534696405,0.632121679043884,0.817965442236703,7.52707535439637e-05,FALSE
ODR4,turquoise,up,0.93441102032672,0.662407064791707,1.04876583029684,2.04870937869619e-05,TRUE
STAG2,turquoise,up,0.9342887350236,0.570602857521615,0.865929616822667,0.000393723239603784,FALSE
TNKS,turquoise,up,0.93427157134367,0.566227257184885,0.718659691094066,0.000501902421166011,FALSE
RNF25,turquoise,up,0.933784598236983,0.614115623486892,0.656898269124904,0.000154107208132437,FALSE
NDRG3,turquoise,up,0.933675111707447,0.666226151004141,0.996029435825754,2.052198434994e-05,FALSE
RB1CC1,turquoise,up,0.933560535161757,0.556038957519618,0.646136441570548,0.000671713361276443,FALSE
CAPN7,turquoise,up,0.933349734060417,0.633592279217707,0.757373822589824,6.96407925021157e-05,FALSE
ZNF845,turquoise,up,0.933300627364349,0.752163349152017,1.10759319986662,3.87292367715831e-07,TRUE
CASD1,turquoise,up,0.932449107691146,0.664636544812902,0.950971458049348,1.99481054810339e-05,FALSE
SAMD4B,turquoise,up,0.932356613692208,0.743710051725236,0.978504961757135,8.51653762195837e-07,FALSE
BDP1,turquoise,up,0.932329349270874,0.655890777758797,0.84597525436623,3.31004878373395e-05,FALSE
MINDY2,turquoise,up,0.932228636334856,0.805456909936799,1.65223441316577,1.18122641838271e-08,TRUE
PTBP2,turquoise,up,0.931891954308002,0.674143334409955,1.03809171303855,1.44937194415604e-05,TRUE
USP24,turquoise,up,0.931780365140706,0.748043223937393,0.99680327370316,5.35900466444265e-07,FALSE
MTM1,turquoise,up,0.931615180433325,0.693084109928893,1.03674050580031,6.46383669843274e-06,TRUE
CCNT2,turquoise,up,0.931114838070826,0.576635965276642,0.663025925093294,0.000379427909115167,FALSE
ZNF621,turquoise,up,0.930982638132653,0.724059226004093,0.841224091417121,2.12481430048597e-06,FALSE
FAM149B1,turquoise,up,0.930846870738018,0.607720497678484,0.807833258796455,0.000142039907316714,FALSE
WBP4,turquoise,up,0.930642172805467,0.655925786219727,0.933945180037783,2.96527103354792e-05,FALSE
EVI5,turquoise,up,0.930523933196157,0.791052536196348,1.93204718023362,2.75719745676898e-08,TRUE
B4GAT1,turquoise,up,0.930229816143248,0.74976273403417,0.949062984269855,6.37808014824315e-07,FALSE
RNF6,turquoise,up,0.930209294140876,0.596338655501779,0.684093038538172,0.000216304166589194,FALSE
ACBD5,turquoise,up,0.930061674456318,0.716758201629483,1.305939934367,2.14186151758646e-06,TRUE
FRYL,turquoise,up,0.929822380806226,0.673601960369646,1.06012739577024,1.45219993320216e-05,TRUE
WDR44,turquoise,up,0.929799397999667,0.693922086316023,0.977903395751737,6.24752946039755e-06,FALSE
NEPRO,turquoise,up,0.929654795521932,0.608299796635989,0.599556251235931,0.00017962709650994,FALSE
BTBD3,turquoise,up,0.929633251301163,0.826109715530009,1.27939883899692,3.80686132304014e-09,TRUE
CHUK,turquoise,up,0.929571584444887,0.699584879888719,0.998155403309177,4.98340768746431e-06,FALSE
ENTPD5,turquoise,up,0.929012350535031,0.775999614899295,0.803078942467235,1.78957750886577e-07,FALSE
USP47,turquoise,up,0.928817366570638,0.579972754683243,0.790134108873557,0.000322575438136684,FALSE
ZNF557,turquoise,up,0.928653031365603,0.626663333965448,0.687973696850426,8.7458492663023e-05,FALSE
SLC35A5,turquoise,up,0.928542919499504,0.62028333071066,0.943224018767157,9.50652049876651e-05,FALSE
KDM4C,turquoise,up,0.928494443014557,0.777662439792009,0.992204034857365,9.96106190433457e-08,FALSE
DNAAF9,turquoise,up,0.927926281489806,0.793584006439343,1.40103521713416,3.0049541180625e-08,TRUE
MAP2K5,turquoise,up,0.927865791068076,0.609051971783597,0.675363346421744,0.000157303688914972,FALSE
CAPRIN2,turquoise,up,0.927746375139001,0.605503257308412,0.757085315913646,0.00015462636844669,FALSE
AKTIP,turquoise,up,0.927698702086565,0.665154772511068,1.04208795464688,1.92583805309677e-05,TRUE
PIGH,turquoise,up,0.927292591717578,0.665306333403221,0.819844325323828,2.38150692696546e-05,FALSE
SLC30A4,turquoise,up,0.927219377159851,0.825073251961145,1.37861264631303,3.24607653940181e-09,TRUE
ZNF354A,turquoise,up,0.927061033595344,0.767069014516581,0.797463641092524,2.61074267211005e-07,FALSE
MAIP1,turquoise,up,0.925878573808499,0.666680404031689,0.84143658986739,2.05930422102284e-05,FALSE
