ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:1903706,regulation of hemopoiesis,41/936,436/18805,0.0940366972477064,1.88927360228966,4.29980548556155,7.28138604739456e-05,0.00174988148558353,0.00138351633022772,FSTL3/IL34/TMEM176B/TREM2/TMEM176A/HLA-DOA/TLR3/ERBB2/LOXL3/TSC22D1/TOX/CARD11/NCKAP1L/ISG15/CD4/C1QC/IL18/LGALS9/CD86/EEIG1/BTK/TCIM/CYLD/STAT1/SCIN/PCID2/HLA-DRA/LILRB4/GPR137B/CDKN2A/PRDM1/CD74/RB1/INPP5D/SOS2/FCGR2B/CDK6/SYK/ID2/EVI2B/HCLS1,41
GO:0002237,response to molecule of bacterial origin,37/936,379/18805,0.0976253298153034,1.96137214441964,4.32721553071783,7.49048213271897e-05,0.00179187451018942,0.00141671745600484,AHR/TREM2/ADAM17/LY86/SNCA/CX3CR1/CASP1/GBP2/FER/TAB2/PENK/IL18/LGALS9/CD86/TLR1/EDNRB/BTK/SCIMP/IFNAR1/CNP/HAVCR2/PDCD1LG2/ABCA1/PDCD4/IDO1/IRF8/FCGR2B/TLR5/TLR2/IRAK3/ERBIN/BMP6/CNR1/CD14/LY96/CXCL10/MAOB,37
GO:0032757,positive regulation of interleukin-8 production,12/936,65/18805,0.184615384615385,3.70907297830375,5.00732189294934,7.55664593159754e-05,0.00179725208393305,0.0014209691502782,TLR3/RIGI/TLR7/LGALS9/TLR1/CD58/AFAP1L2/CD74/SYK/TLR5/TLR2/CD14,12
GO:0022409,positive regulation of cell-cell adhesion,34/936,337/18805,0.100890207715134,2.02696619239646,4.35385624648753,7.61635111311994e-05,0.00179725208393305,0.0014209691502782,FSTL3/ANK3/HLA-DOA/SOX2/ST3GAL4/HLA-DMB/HLA-DMA/NCK1/CARD11/NCKAP1L/HLA-DPB1/CD4/IL18/LGALS9/CD86/CYLD/DENND6A/HLA-DPA1/HLA-DRA/LILRB4/AIF1/IGFBP2/CD74/HAVCR2/PDCD1LG2/HLA-DQA1/SYK/HLA-DRB3/BMP7/TNFSF13B/GCNT1/HLA-DQB1/HLA-DRB5/THY1,34
GO:0051251,positive regulation of lymphocyte activation,34/936,337/18805,0.100890207715134,2.02696619239646,4.35385624648753,7.61635111311994e-05,0.00179725208393305,0.0014209691502782,FCGR3A/HLA-DOA/BCL2/HLA-DMB/HLA-DMA/NCK1/TOX/CARD11/NCKAP1L/HLA-DPB1/CD4/IL18/LGALS9/CD86/BTK/CYLD/HLA-DPA1/PCID2/HLA-DRA/LILRB4/AIF1/IGFBP2/CD74/INPP5D/HAVCR2/PDCD1LG2/HLA-DQA1/SYK/HLA-DRB3/TNFSF13B/GPR183/HLA-DQB1/HLA-DRB5/THY1,34
GO:0007158,neuron cell-cell adhesion,6/936,16/18805,0.375,7.53405448717949,5.98416873855296,7.78957972438424e-05,0.00182984947129116,0.0014467417629404,NLGN4X/NCAM2/NRXN1/NRXN3/CNTN4/NLGN3,6
GO:1903037,regulation of leukocyte cell-cell adhesion,38/936,395/18805,0.0962025316455696,1.93278697392621,4.28812115687565,8.21825544027579e-05,0.00192189247179544,0.00151951411657117,HLA-DOA/ERBB2/ST3GAL4/LOXL3/HLA-DMB/HLA-DMA/NCK1/CARD11/NCKAP1L/HLA-DPB1/CD4/IL18/LGALS9/CD86/VSIG4/CYLD/HLA-DPA1/HLA-DRA/LILRB4/AIF1/IGFBP2/CDKN2A/DUSP3/CD74/HAVCR2/PDCD1LG2/HLA-DQA1/IDO1/SYK/HLA-DRB3/PDE5A/LAPTM5/TNFSF13B/GCNT1/HLA-DQB1/TNFRSF21/HLA-DRB5/THY1,38
GO:0051965,positive regulation of synapse assembly,12/936,66/18805,0.181818181818182,3.6528749028749,4.94115473821614,8.8230480447858e-05,0.00205411587292669,0.0016240544732813,NRXN1/SLITRK2/THBS2/SLITRK5/FLRT3/NTRK2/CLSTN2/SRPX2/NLGN3/LRRN1/OXTR/ADGRB3,12
GO:0010721,negative regulation of cell development,30/936,285/18805,0.105263157894737,2.11482231219073,4.34030762898341,9.25932424141198e-05,0.00214015050381841,0.00169207640378598,FSTL3/TMEM176B/TREM2/TMEM176A/TLR3/ERBB2/LOXL3/TSC22D1/SPP1/CDH1/CTNNA1/PLXNA3/C1QC/EDNRB/SEMA5A/LILRB4/GPR137B/CDKN2A/CD74/RB1/INPP5D/SEMA6D/SPART/MAP2/FCGR2B/CDK6/SORL1/BMP7/ID2/THY1,30
GO:1901136,carbohydrate derivative catabolic process,28/936,258/18805,0.108527131782946,2.18039819784006,4.36932627060889,9.27466948922263e-05,0.00214015050381841,0.00169207640378598,ALDH1A1/RENBP/APOBEC3G/DPYD/UCHL1/SCARB2/GBA1/GALC/KAT2B/BPGM/HEXA/MANBA/APOBEC3C/SMPD1/TIGAR/ENO2/BTK/AOAH/LIPA/ADA2/NAGA/GPD1L/PRXL2C/FUCA1/GLB1/PDE5A/ZBTB20/DDIT4,28
