"sample","group","disease_state","Schwann/肿瘤细胞","巨噬/髓系","T细胞","成纤维","内皮","周细胞"
"GSM2893469","Control","control",0.749295565626143,0.0110129933637544,0,0.128944528037724,0.0978016018640021,0.0129453111083766
"GSM2893470","Control","control",0.821874463296884,0.0201779844711332,0,0.0793121586747595,0.0667040212436843,0.0119313723135386
"GSM2893471","Control","control",0.828307097698147,0.040678766350071,0,0.0672142243576585,0.0625630936953961,0.00123681789872761
"GSM2893472","Control","control",0.864368051940793,0,0,0.07690859915335,0.0581364834988526,0.00058686540700467
"GSM2893473","Tumor","Vestibular Schwannoma",0.995098268765987,0,0,0,0.00490173123401259,0
"GSM2893474","Tumor","Vestibular Schwannoma",0.955991040099324,0.0346750244293593,0,0,0.00933393547131676,0
"GSM2893475","Tumor","Vestibular Schwannoma",0.384345917553292,0.585514241419224,0,0.0110829888435808,0.019056852183904,0
"GSM2893476","Tumor","Vestibular Schwannoma",0.818227152283408,0.163828303011974,0,0.0043506371919001,0.0135939075127173,0
"GSM2893477","Tumor","Vestibular Schwannoma",0.868621404209762,0.118590209712451,0,0.00622171549012578,0.00656667058766153,0
"GSM2893478","Tumor","Vestibular Schwannoma",0.870101852989417,0.123125657036442,0,0,0.0067724899741408,0
"GSM2893479","Tumor","Vestibular Schwannoma",0.938232244476029,0.0531456932159579,0,0,0.0086220623080128,0
"GSM2893480","Tumor","Vestibular Schwannoma",0.923779307595436,0.0698870711011579,0,0,0.00633362130340591,0
"GSM2893481","Tumor","Vestibular Schwannoma",0.893611907354107,0.102253981261318,0,0,0.00413411138457522,0
"GSM2893482","Tumor","Vestibular Schwannoma",0.990341563718816,0,0,0,0.00965843628118439,0
"GSM2902750","Tumor","NF2-associated VS",0.884619869470629,0.0982069103424057,0,0.00127843462101017,0.0158947855659556,0
"GSM2902751","Tumor","NF2-associated VS",0.854271507858367,0.133333840234281,0,0,0.0123946519073515,0
"GSM2902752","Tumor","NF2-associated VS",0.95766390539261,0.0119719236758157,0,0,0.0303641709315747,0
"GSM2902753","Tumor","NF2-associated VS",0.98759441469603,0.00180802095111548,0,0,0.0105975643528551,0
"GSM2902754","Tumor","NF2-associated VS",0.977183986879658,0.0180459017912386,0,0,0.00477011132910351,0
"GSM2902755","Tumor","NF2-associated VS",0.277032633247765,0.319661028035656,0,0.297534540575988,0.10577179814059,0
"GSM2902756","Tumor","NF2-associated VS",0.824369204437463,0.107711051670411,0,0.0201593349314246,0.0477604089607013,0
"GSM2902757","Tumor","NF2-associated VS",0.971807645928034,0.0206406521694862,0,0,0.00755170190247942,0
"GSM2902758","Tumor","NF2-associated VS",0.960801881819529,0.0122536994244737,0,0.0208205103608087,0.00612390839518919,0
"GSM2902759","Tumor","NF2-associated VS",0.517135774076425,0.4678301498961,0,0,0.015034076027475,0
"GSM2902760","Tumor","NF2-associated VS",0.367442430497713,0.131146444683647,0,0.364256852673854,0.137154272144785,0
"GSM2902761","Tumor","NF2-associated VS",0.838173053862408,0.147063177189105,0,0.00421702579099682,0.0105467431574903,0
"GSM2902762","Tumor","NF2-associated VS",0.957167138020276,0.0207923384891455,0,0.014630103574448,0.0074104199161307,0
"GSM2902763","Tumor","NF2-associated VS",0.919263409214621,0.0639158121381959,0,0.00927419424561846,0.00754658440156435,0
"GSM2902764","Tumor","NF2-associated VS",0.967312016141154,0.0268158825958416,0,0,0.0058721012630046,0
"GSM2902765","Tumor","NF2-associated VS",0.994626930506859,0,0,0.0016640401314533,0.00370902936168756,0
"GSM2902766","Tumor","NF2-associated VS",0.951054202270525,0.0426384590754324,0,0.000562086097147036,0.00574525255689599,0
